name,category,price,compareAtPrice,stock,rating,reviewCount,description,sku
iPhone 15 Pro Max 256GB,Electronics,1199.99,1399.99,45,4.8,2341,Latest flagship smartphone with advanced camera system and titanium build,APL-IPH15PM-256
Samsung Galaxy S24 Ultra 512GB,Electronics,1099.99,1299.99,32,4.7,1876,Premium Android smartphone with built-in S-Pen and AI photography,SAM-GS24U-512
MacBook Pro 14 M3 Chip,Electronics,1999.99,2299.99,18,4.9,1543,Professional laptop with M3 chip for creative workflows,APL-MBP14M3-512
Dell XPS 13 Plus Laptop,Electronics,1299.99,1599.99,25,4.6,987,Ultra-portable laptop with InfinityEdge display,DEL-XPS13P-512
Sony WH-1000XM5 Headphones,Electronics,329.99,399.99,67,4.8,3421,Industry-leading noise canceling wireless headphones,SNY-WH1000XM5
Apple AirPods Pro 2nd Gen,Electronics,249.99,299.99,89,4.7,4521,Active noise cancellation with spatial audio,APL-AIRPRO2-USB
Bose QuietComfort Earbuds,Electronics,199.99,279.99,54,4.6,2198,Premium noise canceling true wireless earbuds,BSE-QCEB-BLK
Apple Watch Series 9 GPS,Electronics,399.99,499.99,43,4.8,1765,Advanced health monitoring with bright display,APL-AWS9-45MM
Samsung Galaxy Watch 6,Electronics,329.99,399.99,38,4.5,1234,Comprehensive health tracking with Android integration,SAM-GW6-44MM
iPad Pro 12.9 M2 Chip,Electronics,1099.99,1299.99,29,4.7,2876,Professional tablet with Liquid Retina XDR display,APL-IPADP129-256
Lenovo ThinkPad X1 Carbon,Electronics,1599.99,1899.99,21,4.6,1432,Business laptop with military-grade durability,LEN-X1C11-512
ASUS ROG Strix Gaming Laptop,Electronics,1799.99,2199.99,15,4.7,3456,High-performance gaming laptop with RTX graphics,ASU-ROGST15-1TB
Microsoft Surface Pro 9,Electronics,999.99,1299.99,34,4.5,1876,2-in-1 laptop tablet with Intel processors,MSF-SP9-256
Razer DeathAdder V3 Mouse,Electronics,79.99,99.99,125,4.6,2341,Ergonomic gaming mouse with Focus Pro sensor,RZR-DAV3-BLK
Logitech MX Master 3S,Electronics,99.99,129.99,87,4.7,1987,Advanced wireless mouse for productivity,LOG-MXM3S-GRY
Anker PowerCore 10000,Electronics,29.99,39.99,234,4.5,5432,Compact portable charger with fast charging,ANK-PC10K-BLK
Samsung 43 4K Smart TV,Electronics,449.99,599.99,42,4.6,1765,Crystal UHD display with Tizen smart platform,SAM-43AU7000
LG OLED55C3 Smart TV,Electronics,1299.99,1599.99,18,4.8,2134,Premium OLED display with Dolby Vision,LG-OLED55C3
Nintendo Switch OLED,Electronics,349.99,399.99,67,4.7,4321,Enhanced gaming console with vibrant OLED screen,NTD-SWOLED-WHT
PlayStation 5 Console,Electronics,499.99,599.99,23,4.8,6789,Next-gen gaming console with ultra-high speed SSD,SNY-PS5-STD
Nike Air Max 270 Mens,Fashion,129.99,159.99,78,4.6,2143,Comfortable running shoes with Air Max cushioning,NKE-AM270-M10
Adidas Ultraboost 22 Womens,Fashion,179.99,219.99,45,4.7,1876,Premium running shoes with Boost midsole technology,ADS-UB22-W8
Levi's 501 Original Jeans,Fashion,69.99,89.99,156,4.5,3421,Classic straight-fit jeans in authentic denim,LEV-501-32W34L
Zara Slim Fit Chino Pants,Fashion,39.99,59.99,89,4.3,987,Modern slim-fit chinos in premium cotton,ZRA-CHINO-32W
H&M Cotton Hoodie,Fashion,24.99,34.99,234,4.2,2198,Comfortable cotton blend hoodie with drawstring,HM-HOODIE-L
Tommy Hilfiger Polo Shirt,Fashion,49.99,69.99,123,4.6,1543,Classic polo shirt with signature logo embroidery,TMY-POLO-M
Ralph Lauren Oxford Shirt,Fashion,89.99,119.99,67,4.7,1234,Premium button-down shirt in pure cotton,RL-OXFORD-L
